item_id,product_name,category,brand,price,rating,stock,description,image_url
23,Eggs,groceries,,2.99,2.53,9,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",/products/23.webp
24,Fish Steak,groceries,,14.99,3.78,74,"Quality fish steak, suitable for grilling, baking, or pan-searing.",/products/24.webp
25,Green Bell Pepper,groceries,,1.29,3.25,33,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",/products/25.webp
26,Green Chili Pepper,groceries,,0.99,3.66,3,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",/products/26.webp
27,Honey Jar,groceries,,6.99,3.97,34,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",/products/27.webp
28,Ice Cream,groceries,,5.49,3.39,27,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",/products/28.webp
29,Juice,groceries,,3.99,3.94,50,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",/products/29.webp
30,Kiwi,groceries,,2.49,4.93,99,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",/products/30.webp
31,Lemon,groceries,,0.79,3.53,31,"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.",/products/31.webp
32,Milk,groceries,,3.49,2.61,27,"Fresh and nutritious milk, a staple for various recipes and daily consumption.",/products/32.webp
33,Mulberry,groceries,,4.99,4.95,99,"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.",/products/33.webp
34,Nescafe Coffee,groceries,,7.99,4.82,57,"Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.",/products/34.webp
35,Potatoes,groceries,,2.29,4.81,13,"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.",/products/35.webp
36,Protein Powder,groceries,,19.99,4.18,80,"Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.",/products/36.webp
37,Red Onions,groceries,,1.99,4.20,82,"Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.",/products/37.webp
38,Rice,groceries,,5.99,3.18,59,"High-quality rice, a staple for various cuisines and a versatile base for many dishes.",/products/38.webp
39,Soft Drinks,groceries,,1.99,4.75,53,"Assorted soft drinks in various flavors, perfect for refreshing beverages.",/products/39.webp
40,Strawberry,groceries,,3.99,3.08,46,"Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.",/products/40.webp
41,Tissue Paper Box,groceries,,2.49,2.69,86,"Convenient tissue paper box for everyday use, providing soft and absorbent tissues.",/products/41.webp
42,Water,groceries,,0.99,4.96,53,"Pure and refreshing bottled water, essential for staying hydrated throughout the day.",/products/42.webp
43,Decoration Swing,home-decoration,,59.99,3.16,47,"The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.",/products/43.webp
44,Family Tree Photo Frame,home-decoration,,29.99,4.53,77,"The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.",/products/44.webp
45,House Showpiece Plant,home-decoration,,39.99,4.67,28,The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.,/products/45.webp
46,Plant Pot,home-decoration,,14.99,3.01,59,"The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.",/products/46.webp
47,Table Lamp,home-decoration,,49.99,3.55,9,"The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.",/products/47.webp
48,Bamboo Spatula,kitchen-accessories,,7.99,3.27,37,"The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes.",/products/48.webp
49,Black Aluminium Cup,kitchen-accessories,,5.99,4.46,75,The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.,/products/49.webp
50,Black Whisk,kitchen-accessories,,9.99,3.90,73,The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.,/products/50.webp
51,Boxed Blender,kitchen-accessories,,39.99,4.56,9,"The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.",/products/51.webp
52,Carbon Steel Wok,kitchen-accessories,,29.99,4.05,40,"The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals.",/products/52.webp
53,Chopping Board,kitchen-accessories,,12.99,3.70,14,"The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping.",/products/53.webp
54,Citrus Squeezer Yellow,kitchen-accessories,,8.99,4.63,22,The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.,/products/54.webp
55,Egg Slicer,kitchen-accessories,,6.99,3.09,40,"The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired.",/products/55.webp
56,Electric Stove,kitchen-accessories,,49.99,4.11,21,The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.,/products/56.webp
57,Fine Mesh Strainer,kitchen-accessories,,9.99,3.04,85,The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.,/products/57.webp
58,Fork,kitchen-accessories,,3.99,3.11,7,The Fork is a classic utensil for various dining and serving purposes. Its durable and ergonomic design makes it a reliable choice for everyday use.,/products/58.webp
59,Glass,kitchen-accessories,,4.99,4.02,46,The Glass is a versatile and elegant drinking vessel suitable for a variety of beverages. Its clear design allows you to enjoy the colors and textures of your drinks.,/products/59.webp
60,Grater Black,kitchen-accessories,,10.99,3.21,84,"The Grater in Black is a handy kitchen tool for grating cheese, vegetables, and more. Its sleek design and sharp blades make food preparation efficient and easy.",/products/60.webp
61,Hand Blender,kitchen-accessories,,34.99,3.86,84,"The Hand Blender is a versatile kitchen appliance for blending, pureeing, and mixing. Its compact design and powerful motor make it a convenient tool for various recipes.",/products/61.webp
62,Ice Cube Tray,kitchen-accessories,,5.99,4.71,13,The Ice Cube Tray is a practical accessory for making ice cubes in various shapes. Perfect for keeping your drinks cool and adding a fun element to your beverages.,/products/62.webp
63,Kitchen Sieve,kitchen-accessories,,7.99,3.09,68,The Kitchen Sieve is a versatile tool for sifting and straining dry and wet ingredients. Its fine mesh design ensures smooth results in your cooking and baking.,/products/63.webp
64,Knife,kitchen-accessories,,14.99,3.26,7,"The Knife is an essential kitchen tool for chopping, slicing, and dicing. Its sharp blade and ergonomic handle make it a reliable choice for food preparation.",/products/64.webp
65,Lunch Box,kitchen-accessories,,12.99,4.93,94,"The Lunch Box is a convenient and portable container for packing and carrying your meals. With compartments for different foods, it's perfect for on-the-go dining.",/products/65.webp
66,Microwave Oven,kitchen-accessories,,89.99,4.82,59,"The Microwave Oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. Its compact size makes it suitable for various kitchen setups.",/products/66.webp
67,Mug Tree Stand,kitchen-accessories,,15.99,2.64,88,The Mug Tree Stand is a stylish and space-saving solution for organizing your mugs. Keep your favorite mugs easily accessible and neatly displayed in your kitchen.,/products/67.webp
68,Pan,kitchen-accessories,,24.99,2.79,90,"The Pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. Its non-stick coating ensures easy food release and cleanup.",/products/68.webp
69,Plate,kitchen-accessories,,3.99,3.65,66,The Plate is a classic and essential dishware item for serving meals. Its durable and stylish design makes it suitable for everyday use or special occasions.,/products/69.webp
70,Red Tongs,kitchen-accessories,,6.99,4.42,82,The Red Tongs are versatile kitchen tongs suitable for various cooking and serving tasks. Their vibrant color adds a pop of excitement to your kitchen utensils.,/products/70.webp
71,Silver Pot With Glass Cap,kitchen-accessories,,39.99,3.22,40,"The Silver Pot with Glass Cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. Its glass cap allows you to monitor cooking progress.",/products/71.webp
72,Slotted Turner,kitchen-accessories,,8.99,3.40,88,"The Slotted Turner is a kitchen utensil designed for flipping and turning food items. Its slotted design allows excess liquid to drain, making it ideal for frying and sautéing.",/products/72.webp
73,Spice Rack,kitchen-accessories,,19.99,4.87,79,The Spice Rack is a convenient organizer for your spices and seasonings. Keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.,/products/73.webp
74,Spoon,kitchen-accessories,,4.99,4.03,59,"The Spoon is a versatile kitchen utensil for stirring, serving, and tasting. Its ergonomic design and durable construction make it an essential tool for every kitchen.",/products/74.webp
75,Tray,kitchen-accessories,,16.99,4.62,71,"The Tray is a functional and decorative item for serving snacks, appetizers, or drinks. Its stylish design makes it a versatile accessory for entertaining guests.",/products/75.webp
76,Wooden Rolling Pin,kitchen-accessories,,11.99,2.92,80,The Wooden Rolling Pin is a classic kitchen tool for rolling out dough for baking. Its smooth surface and sturdy handles make it easy to achieve uniform thickness.,/products/76.webp
77,Yellow Peeler,kitchen-accessories,,5.99,4.24,35,The Yellow Peeler is a handy tool for peeling fruits and vegetables with ease. Its bright yellow color adds a cheerful touch to your kitchen gadgets.,/products/77.webp
78,Apple MacBook Pro 14 Inch Space Grey,laptops,Apple,1999.99,3.65,24,"The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display.",/products/78.webp
79,Asus Zenbook Pro Dual Screen Laptop,laptops,Asus,1799.99,3.95,45,"The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals.",/products/79.webp
80,Huawei Matebook X Pro,laptops,Huawei,1399.99,4.98,75,"The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go.",/products/80.webp
81,Lenovo Yoga 920,laptops,Lenovo,1099.99,2.86,40,"The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",/products/81.webp
82,New DELL XPS 13 9300 Laptop,laptops,Dell,1499.99,2.67,74,"The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks.",/products/82.webp
83,Blue & Black Check Shirt,mens-shirts,Fashion Trends,29.99,3.64,38,"The Blue & Black Check Shirt is a stylish and comfortable men's shirt featuring a classic check pattern. Made from high-quality fabric, it's suitable for both casual and semi-formal occasions.",/products/83.webp
84,Gigabyte Aorus Men Tshirt,mens-shirts,Gigabyte,24.99,3.18,90,"The Gigabyte Aorus Men Tshirt is a cool and casual shirt for gaming enthusiasts. With the Aorus logo and sleek design, it's perfect for expressing your gaming style.",/products/84.webp
85,Man Plaid Shirt,mens-shirts,Classic Wear,34.99,3.46,82,The Man Plaid Shirt is a timeless and versatile men's shirt with a classic plaid pattern. Its comfortable fit and casual style make it a wardrobe essential for various occasions.,/products/85.webp
86,Man Short Sleeve Shirt,mens-shirts,Casual Comfort,19.99,2.90,2,"The Man Short Sleeve Shirt is a breezy and stylish option for warm days. With a comfortable fit and short sleeves, it's perfect for a laid-back yet polished look.",/products/86.webp
87,Men Check Shirt,mens-shirts,Urban Chic,27.99,2.72,95,"The Men Check Shirt is a classic and versatile shirt featuring a stylish check pattern. Suitable for various occasions, it adds a smart and polished touch to your wardrobe.",/products/87.webp
88,Nike Air Jordan 1 Red And Black,mens-shoes,Nike,149.99,4.77,7,"The Nike Air Jordan 1 in Red and Black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes.",/products/88.webp
89,Nike Baseball Cleats,mens-shoes,Nike,79.99,3.88,12,Nike Baseball Cleats are designed for maximum traction and performance on the baseball field. They provide stability and support for players during games and practices.,/products/89.webp
90,Puma Future Rider Trainers,mens-shoes,Puma,89.99,4.90,90,"The Puma Future Rider Trainers offer a blend of retro style and modern comfort. Perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use.",/products/90.webp
91,Sports Sneakers Off White & Red,mens-shoes,Off White,119.99,4.77,17,"The Sports Sneakers in Off White and Red combine style and functionality, making them a fashionable choice for sports enthusiasts. The red and off-white color combination adds a bold and energetic touch.",/products/91.webp
92,Sports Sneakers Off White Red,mens-shoes,Off White,109.99,4.69,62,"Another variant of the Sports Sneakers in Off White Red, featuring a unique design. These sneakers offer style and comfort for casual occasions.",/products/92.webp
93,Brown Leather Belt Watch,mens-watches,Fashion Timepieces,89.99,4.19,32,"The Brown Leather Belt Watch is a stylish timepiece with a classic design. Featuring a genuine leather strap and a sleek dial, it adds a touch of sophistication to your look.",/products/93.webp
94,Longines Master Collection,mens-watches,Longines,1499.99,3.87,100,"The Longines Master Collection is an elegant and refined watch known for its precision and craftsmanship. With a timeless design, it's a symbol of luxury and sophistication.",/products/94.webp
95,Rolex Cellini Date Black Dial,mens-watches,Rolex,8999.99,4.97,40,"The Rolex Cellini Date with Black Dial is a classic and prestigious watch. With a black dial and date complication, it exudes sophistication and is a symbol of Rolex's heritage.",/products/95.webp
96,Rolex Cellini Moonphase,mens-watches,Rolex,12999.99,2.58,36,"The Rolex Cellini Moonphase is a masterpiece of horology, featuring a moon phase complication and exquisite design. It reflects Rolex's commitment to precision and elegance.",/products/96.webp
97,Rolex Datejust,mens-watches,Rolex,10999.99,3.66,86,"The Rolex Datejust is an iconic and versatile timepiece with a date window. Known for its timeless design and reliability, it's a symbol of Rolex's watchmaking excellence.",/products/97.webp
98,Rolex Submariner Watch,mens-watches,Rolex,13999.99,2.69,55,"The Rolex Submariner is a legendary dive watch with a rich history. Known for its durability and water resistance, it's a symbol of adventure and exploration.",/products/98.webp
99,Amazon Echo Plus,mobile-accessories,Amazon,99.99,4.99,61,The Amazon Echo Plus is a smart speaker with built-in Alexa voice control. It features premium sound quality and serves as a hub for controlling smart home devices.,/products/99.webp
100,Apple Airpods,mobile-accessories,Apple,129.99,4.15,67,"The Apple Airpods offer a seamless wireless audio experience. With easy pairing, high-quality sound, and Siri integration, they are perfect for on-the-go listening.",/products/100.webp
101,Apple AirPods Max Silver,mobile-accessories,Apple,549.99,3.47,59,"The Apple AirPods Max in Silver are premium over-ear headphones with high-fidelity audio, adaptive EQ, and active noise cancellation. Experience immersive sound in style.",/products/101.webp
102,Apple Airpower Wireless Charger,mobile-accessories,Apple,79.99,3.68,1,The Apple AirPower Wireless Charger provides a convenient way to charge your compatible Apple devices wirelessly. Simply place your devices on the charging mat for effortless charging.,/products/102.webp
103,Apple HomePod Mini Cosmic Grey,mobile-accessories,Apple,99.99,4.62,27,The Apple HomePod Mini in Cosmic Grey is a compact smart speaker that delivers impressive audio and integrates seamlessly with the Apple ecosystem for a smart home experience.,/products/103.webp
104,Apple iPhone Charger,mobile-accessories,Apple,19.99,4.15,31,The Apple iPhone Charger is a high-quality charger designed for fast and efficient charging of your iPhone. Ensure your device stays powered up and ready to go.,/products/104.webp
105,Apple MagSafe Battery Pack,mobile-accessories,Apple,99.99,3.62,1,The Apple MagSafe Battery Pack is a portable and convenient way to add extra battery life to your MagSafe-compatible iPhone. Attach it magnetically for a secure connection.,/products/105.webp
106,Apple Watch Series 4 Gold,mobile-accessories,Apple,349.99,2.74,33,"The Apple Watch Series 4 in Gold is a stylish and advanced smartwatch with features like heart rate monitoring, fitness tracking, and a beautiful Retina display.",/products/106.webp
107,Beats Flex Wireless Earphones,mobile-accessories,Beats,49.99,4.24,50,"The Beats Flex Wireless Earphones offer a comfortable and versatile audio experience. With magnetic earbuds and up to 12 hours of battery life, they are ideal for everyday use.",/products/107.webp
108,iPhone 12 Silicone Case with MagSafe Plum,mobile-accessories,Apple,29.99,3.62,69,The iPhone 12 Silicone Case with MagSafe in Plum is a stylish and protective case designed for the iPhone 12. It features MagSafe technology for easy attachment of accessories.,/products/108.webp
109,Monopod,mobile-accessories,TechGear,19.99,4.43,48,"The Monopod is a versatile camera accessory for stable and adjustable shooting. Perfect for capturing selfies, group photos, and videos with ease.",/products/109.webp
110,Selfie Lamp with iPhone,mobile-accessories,GadgetMaster,14.99,3.55,58,The Selfie Lamp with iPhone is a portable and adjustable LED light designed to enhance your selfies and video calls. Attach it to your iPhone for well-lit photos.,/products/110.webp
111,Selfie Stick Monopod,mobile-accessories,SnapTech,12.99,3.88,11,The Selfie Stick Monopod is a extendable and foldable device for capturing the perfect selfie or group photo. Compatible with smartphones and cameras.,/products/111.webp
112,TV Studio Camera Pedestal,mobile-accessories,ProVision,499.99,2.78,15,The TV Studio Camera Pedestal is a professional-grade camera support system for smooth and precise camera movements in a studio setting. Ideal for broadcast and production.,/products/112.webp
113,Generic Motorcycle,motorcycle,Generic Motors,3999.99,4.91,34,"The Generic Motorcycle is a versatile and reliable bike suitable for various riding preferences. With a balanced design, it provides a comfortable and efficient riding experience.",/products/113.webp
114,Kawasaki Z800,motorcycle,Kawasaki,8999.99,3.98,52,"The Kawasaki Z800 is a powerful and agile sportbike known for its striking design and performance. It's equipped with advanced features, making it a favorite among motorcycle enthusiasts.",/products/114.webp
115,MotoGP CI.H1,motorcycle,MotoGP,14999.99,2.97,10,The MotoGP CI.H1 is a high-performance motorcycle inspired by MotoGP racing technology. It offers cutting-edge features and precision engineering for an exhilarating riding experience.,/products/115.webp
116,Scooter Motorcycle,motorcycle,ScootMaster,2999.99,2.53,84,The Scooter Motorcycle is a practical and fuel-efficient bike ideal for urban commuting. It features a step-through design and user-friendly controls for easy maneuverability.,/products/116.webp
117,Sportbike Motorcycle,motorcycle,SpeedMaster,7499.99,3.94,0,"The Sportbike Motorcycle is designed for speed and agility, with a sleek and aerodynamic profile. It's suitable for riders looking for a dynamic and thrilling riding experience.",/products/117.webp
118,Attitude Super Leaves Hand Soap,skin-care,Attitude,8.99,3.19,94,"Attitude Super Leaves Hand Soap is a natural and nourishing hand soap enriched with the goodness of super leaves. It cleanses and moisturizes your hands, leaving them feeling fresh and soft.",/products/118.webp
119,Olay Ultra Moisture Shea Butter Body Wash,skin-care,Olay,12.99,4.51,34,Olay Ultra Moisture Shea Butter Body Wash is a luxurious body wash that hydrates and nourishes your skin with the moisturizing power of shea butter. Enjoy a rich lather and silky-smooth skin.,/products/119.webp
120,Vaseline Men Body and Face Lotion,skin-care,Vaseline,9.99,3.16,95,Vaseline Men Body and Face Lotion is a specially formulated lotion designed to provide long-lasting moisture to men's skin. It absorbs quickly and helps keep the skin hydrated and healthy.,/products/120.webp
121,iPhone 5s,smartphones,Apple,199.99,2.83,25,"The iPhone 5s is a classic smartphone known for its compact design and advanced features during its release. While it's an older model, it still provides a reliable user experience.",/products/121.webp
122,iPhone 6,smartphones,Apple,299.99,3.41,60,"The iPhone 6 is a stylish and capable smartphone with a larger display and improved performance. It introduced new features and design elements, making it a popular choice in its time.",/products/122.webp
123,iPhone 13 Pro,smartphones,Apple,1099.99,4.12,56,"The iPhone 13 Pro is a cutting-edge smartphone with a powerful camera system, high-performance chip, and stunning display. It offers advanced features for users who demand top-notch technology.",/products/123.webp
124,iPhone X,smartphones,Apple,899.99,2.51,37,"The iPhone X is a flagship smartphone featuring a bezel-less OLED display, facial recognition technology (Face ID), and impressive performance. It represents a milestone in iPhone design and innovation.",/products/124.webp
125,Oppo A57,smartphones,Oppo,249.99,3.94,19,"The Oppo A57 is a mid-range smartphone known for its sleek design and capable features. It offers a balance of performance and affordability, making it a popular choice.",/products/125.webp
126,Oppo F19 Pro Plus,smartphones,Oppo,399.99,3.51,78,The Oppo F19 Pro Plus is a feature-rich smartphone with a focus on camera capabilities. It boasts advanced photography features and a powerful performance for a premium user experience.,/products/126.webp
127,Oppo K1,smartphones,Oppo,299.99,4.25,55,"The Oppo K1 series offers a range of smartphones with various features and specifications. Known for their stylish design and reliable performance, the Oppo K1 series caters to diverse user preferences.",/products/127.webp
128,Realme C35,smartphones,Realme,149.99,4.20,48,The Realme C35 is a budget-friendly smartphone with a focus on providing essential features for everyday use. It offers a reliable performance and user-friendly experience.,/products/128.webp
129,Realme X,smartphones,Realme,299.99,3.70,12,The Realme X is a mid-range smartphone known for its sleek design and impressive display. It offers a good balance of performance and camera capabilities for users seeking a quality device.,/products/129.webp
130,Realme XT,smartphones,Realme,349.99,4.58,80,"The Realme XT is a feature-rich smartphone with a focus on camera technology. It comes equipped with advanced camera sensors, delivering high-quality photos and videos for photography enthusiasts.",/products/130.webp
131,Samsung Galaxy S7,smartphones,Samsung,299.99,3.30,67,"The Samsung Galaxy S7 is a flagship smartphone known for its sleek design and advanced features. It features a high-resolution display, powerful camera, and robust performance.",/products/131.webp
132,Samsung Galaxy S8,smartphones,Samsung,499.99,4.40,0,"The Samsung Galaxy S8 is a premium smartphone with an Infinity Display, offering a stunning visual experience. It boasts advanced camera capabilities and cutting-edge technology.",/products/132.webp
133,Samsung Galaxy S10,smartphones,Samsung,699.99,3.06,19,"The Samsung Galaxy S10 is a flagship device featuring a dynamic AMOLED display, versatile camera system, and powerful performance. It represents innovation and excellence in smartphone technology.",/products/133.webp
134,Vivo S1,smartphones,Vivo,249.99,3.50,50,"The Vivo S1 is a stylish and mid-range smartphone offering a blend of design and performance. It features a vibrant display, capable camera system, and reliable functionality.",/products/134.webp
135,Vivo V9,smartphones,Vivo,299.99,3.60,82,"The Vivo V9 is a smartphone known for its sleek design and emphasis on capturing high-quality selfies. It features a notch display, dual-camera setup, and a modern design.",/products/135.webp
136,Vivo X21,smartphones,Vivo,499.99,4.26,7,"The Vivo X21 is a premium smartphone with a focus on cutting-edge technology. It features an in-display fingerprint sensor, a high-resolution display, and advanced camera capabilities.",/products/136.webp
137,American Football,sports-accessories,,19.99,4.91,53,"The American Football is a classic ball used in American football games. It is designed for throwing and catching, making it an essential piece of equipment for the sport.",/products/137.webp
138,Baseball Ball,sports-accessories,,8.99,2.57,100,"The Baseball Ball is a standard baseball used in baseball games. It features a durable leather cover and is designed for pitching, hitting, and fielding in the game of baseball.",/products/138.webp
139,Baseball Glove,sports-accessories,,24.99,3.96,22,"The Baseball Glove is a protective glove worn by baseball players. It is designed to catch and field the baseball, providing players with comfort and control during the game.",/products/139.webp
140,Basketball,sports-accessories,,14.99,4.66,75,"The Basketball is a standard ball used in basketball games. It is designed for dribbling, shooting, and passing in the game of basketball, suitable for both indoor and outdoor play.",/products/140.webp
141,Basketball Rim,sports-accessories,,39.99,4.60,43,The Basketball Rim is a sturdy hoop and net assembly mounted on a basketball backboard. It provides a target for shooting and scoring in the game of basketball.,/products/141.webp
142,Cricket Ball,sports-accessories,,12.99,3.53,30,"The Cricket Ball is a hard leather ball used in the sport of cricket. It is bowled and batted in the game, and its hardness and seam contribute to the dynamics of cricket play.",/products/142.webp
143,Cricket Bat,sports-accessories,,29.99,3.17,98,The Cricket Bat is an essential piece of cricket equipment used by batsmen to hit the cricket ball. It is made of wood and comes in various sizes and designs.,/products/143.webp
144,Cricket Helmet,sports-accessories,,44.99,4.69,10,"The Cricket Helmet is a protective headgear worn by cricket players, especially batsmen and wicketkeepers. It provides protection against fast bowling and bouncers.",/products/144.webp
145,Cricket Wicket,sports-accessories,,29.99,4.73,25,"The Cricket Wicket is a set of three stumps and two bails, forming a wicket used in the sport of cricket. Batsmen aim to protect the wicket while scoring runs.",/products/145.webp
146,Feather Shuttlecock,sports-accessories,,5.99,2.85,95,"The Feather Shuttlecock is used in the sport of badminton. It features natural feathers and is designed for high-speed play, providing stability and accuracy during matches.",/products/146.webp
147,Football,sports-accessories,,17.99,3.28,96,"The Football, also known as a soccer ball, is the standard ball used in the sport of football (soccer). It is designed for kicking and passing in the game.",/products/147.webp
148,Golf Ball,sports-accessories,,9.99,4.30,84,"The Golf Ball is a small ball used in the sport of golf. It features dimples on its surface, providing aerodynamic lift and distance when struck by a golf club.",/products/148.webp
